"gene_name"	"description"	"transcript_name"	"refseq_protein"
"NXN"	"nucleoredoxin isoform 2"	"NM_001205319"	"NP_001192248"
"NXN"	"nucleoredoxin isoform 1"	"NM_022463"	"NP_071908"
"ALOX12B"	"arachidonate 12-lipoxygenase, 12R-type"	"NM_001139"	"NP_001130"
"MIR155"	""	"NR_030784"	""
"ATG7"	"ubiquitin-like modifier-activating enzyme ATG7 isoform a"	"NM_006395"	"NP_006386"
"MIR5585"	""	"NR_049850"	""
"MIR619"	""	"NR_030350"	""
"SPAG17"	"sperm-associated antigen 17"	"NM_206996"	"NP_996879"
"MIR199A2"	""	"NR_029618"	""
"MIR199A1"	""	"NR_029586"	""
"MIR30C1"	""	"NR_029833"	""
"MIR30C2"	""	"NR_029598"	""
"MIR21"	""	"NR_029493"	""
"RDH12"	"retinol dehydrogenase 12 precursor"	"NM_152443"	"NP_689656"
"PAX9"	"paired box protein Pax-9"	"NM_006194"	"NP_006185"
"MIR7-2"	""	"NR_029606"	""
"MIR7-3"	""	"NR_029607"	""
"MIR7-1"	""	"NR_029605"	""
"SHANK2"	"SH3 and multiple ankyrin repeat domains protein 2 isoform 1"	"NM_012309"	"NP_036441"
"SHANK2"	"SH3 and multiple ankyrin repeat domains protein 2 isoform 2"	"NM_133266"	"NP_573573"
"SHANK2"	""	"NR_110766"	""
"MIR24-1"	""	"NR_029496"	""
"ADGRG3"	"adhesion G protein-coupled receptor G3 isoform 2"	"NM_001308360"	"NP_001295289"
"PPHLN1"	"periphilin-1 isoform 3"	"NM_201439"	"NP_958847"
"SORBS2"	"sorbin and SH3 domain-containing protein 2 isoform 2"	"NM_021069"	"NP_066547"
"ADGRG3"	"adhesion G protein-coupled receptor G3 isoform 1 precursor"	"NM_170776"	"NP_740746"
"PPHLN1"	"periphilin-1 isoform 7"	"NM_001143788"	"NP_001137260"
"SORBS2"	"sorbin and SH3 domain-containing protein 2 isoform 4"	"NM_001145671"	"NP_001139143"
"FAAP24"	"Fanconi anemia core complex-associated protein 24 isoform 2"	"NM_001300978"	"NP_001287907"
"PPHLN1"	"periphilin-1 isoform 4"	"NM_201440"	"NP_958848"
"PPHLN1"	"periphilin-1 isoform 6"	"NM_001143787"	"NP_001137259"
"SORBS2"	"sorbin and SH3 domain-containing protein 2 isoform 8"	"NM_001145675"	"NP_001139147"
"ADGRG2"	"adhesion G-protein coupled receptor G2 isoform 6 precursor"	"NM_001184834"	"NP_001171763"
"SORBS2"	"sorbin and SH3 domain-containing protein 2 isoform 9"	"NM_001270771"	"NP_001257700"
"ADGRG2"	"adhesion G-protein coupled receptor G2 isoform 5 precursor"	"NM_001184833"	"NP_001171762"
"SORBS2"	"sorbin and SH3 domain-containing protein 2 isoform 7"	"NM_001145674"	"NP_001139146"
"PPHLN1"	"periphilin-1 isoform 8"	"NM_001143789"	"NP_001137261"
"SORBS2"	"sorbin and SH3 domain-containing protein 2 isoform 1"	"NM_003603"	"NP_003594"
"ADGRL4"	"adhesion G protein-coupled receptor L4 precursor"	"NM_022159"	"NP_071442"
"ADGRG2"	"adhesion G-protein coupled receptor G2 isoform 4 precursor"	"NM_005756"	"NP_005747"
"RASAL3"	"RAS protein activator like-3"	"NM_022904"	"NP_075055"
"SVBP"	"small vasohibin-binding protein"	"NM_199342"	"NP_955374"
"ADGRG2"	"adhesion G-protein coupled receptor G2 isoform 8 precursor"	"NM_001184836"	"NP_001171765"
